year,college_code,college_name,branch_code,branch_name,district,college_type,category,cutoff,category_display
2022,2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",IB,INDUSTRIAL BIO TECHNOLOGY,Coimbatore,Government,OC,160.0,OC
2022,2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",ME,MECHANICAL ENGINEERING,Coimbatore,Government,OC,177.0,OC
2022,2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",EM,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),Coimbatore,Private,OC,194.5,OC
2022,2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",IM,INFORMATION TECHNOLOGY (SS),Coimbatore,Private,OC,198.0,OC
2022,2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",MF,MECHANICAL ENGINEERING (SS),Coimbatore,Private,OC,194.5,OC
2022,2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",MS,MECHANICAL ENGINEERING (SANDWICH) (SS),Coimbatore,Private,OC,165.0,OC
2022,2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",PR,PRODUCTION ENGINEERING,Coimbatore,Private,OC,171.5,OC
2022,2007,"Coimbatore Institute of Technology (Autonomous), Civil Aerodrome Post, Coimbatore District 641014",CE,CIVIL ENGINEERING,Coimbatore,Private,OC,164.0,OC
2022,2007,"Coimbatore Institute of Technology (Autonomous), Civil Aerodrome Post, Coimbatore District 641014",CS,COMPUTER SCIENCE AND ENGINEERING,Coimbatore,Private,OC,194.5,OC
2022,2007,"Coimbatore Institute of Technology (Autonomous), Civil Aerodrome Post, Coimbatore District 641014",EM,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),Coimbatore,Private,OC,184.5,OC
2022,2025,"Anna University Regional Campus - Coimbatore, Maruthamalai Main Road, Navavoor Bharathiyar University Post, Somayampalayam, Coimbatore District 641046",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,Coimbatore,Government,OC,157.0,OC
2022,2025,"Anna University Regional Campus - Coimbatore, Maruthamalai Main Road, Navavoor Bharathiyar University Post, Somayampalayam, Coimbatore District 641046",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,Coimbatore,Government,OC,161.5,OC
