college_code,college_name,district,college_type,annual_fees
4672,"Stella Mary's College of Engineering, Arunthengan Vilai, Azhikal Post, Kanyakumari District 629202",Kanyakumari,Private,70000
4675,"Universal College of Engineering and Technology, Anbagam Campus, Radhapuram Road, Vallioor, Tirunelveli District 627117",Tirunelveli,Private,70000
4677,"Lourdes Mount College of Engineering and Technology, Marthandam-Karungal Road, Chundavilai, Mullanganavilai, Nattalam Post, Kanyakumari District 629195",Kanyakumari,Private,70000
4678,"Ramco Institute of Technology, North venganallur Village, Krishnapuram Panchayat, Rajapalayam, Virudhunagar District 626117",Virudhunagar,Private,70000
4680,"AAA College of Engineering and Technology, Kamarajar Educational Road, Amathur Village, Sivakasi, Virudhunagar District 626005",Virudhunagar,Private,70000
4686,"Good Shepherd College of Engineering and Technology, Maruthamparai, Kanyakumari District 629101",Kanyakumari,Private,70000
4864,"V V College of Engineering, Arasoor Village, Idaichivilai Post, Santhakulam Taluk, Thoothukudi District 628656",Thoothukudi,Private,70000
4917,"Sethu Institute of Technology (Autonomous), Kariapatti Post, Virudhunagar District 626115",Virudhunagar,Private,70000
4928,"MAR Ephraem College of Engineering & Technology, Malankara Hills, Elavuvillai, Marthandam, Kanyakumari District 629171",Kanyakumari,Private,70000
4929,"M E T Engineering College, Mogals Garden, Thovalai Village, Aralvaimozhi Town Panchayat, Thovalai, Kanyakumari District 629304",Kanyakumari,Private,70000
4933,"St. Mother Theresa Engineering College, Vagaikulam, Thoothukudi District 628102",Thoothukudi,Private,70000
4934,"Holy Cross Engineering College, Vagaikulam, Sri Mulakarai, Srivaikuntam, Thoothukudi District 628851",Thoothukudi,Private,70000
4941,"Unnamalai Institute of Technology, Ayyaneri, Kovilpatti, Thoothukudi District 628502",Thoothukudi,Private,70000
4946,"D M I Engineering College, Aralvaimozhi Village, Thovalai, Kanyakumari District 629301",Kanyakumari,Private,70000
4948,"Rajas Institute of Technology , Ozhuginasery, Nagercoil, Kanyakumari District 629001",Kanyakumari,Private,70000
4949,"PSN Institute of Technology and Science,Melathediyoor, Tirunelveli-627 152",Tirunelveli,Private,70000
4952,"C S I Institute of Technology, Thovalai, Kanyakumari District 629302",Kanyakumari,Private,70000
4953,"CAPE Institute of Technology, Levingipuram, Tirunelveli District 627114",Tirunelveli,Private,70000
4955,"Francis Xavier Engineering College (Autonomous), Vannarpettai, Tirunelveli District 627003",Tirunelveli,Private,70000
4957,"Jayaraj Annapackiam CSI College of Engineering, Nazareth, Thoothukudi District 628617",Thoothukudi,Private,70000
4960,"Mepco Schlenk Engineering College (Autonomous), Sivakasi, Virudhunagar District 626005",Virudhunagar,Private,70000
4961,"Nellai College of Engineering (Formerly National College of Engineering), Maruthakulam Post, Tirunelveli District 627151",Tirunelveli,Private,70000
4962,"National Engineering College (Autonomous), Kovilpatti, Thoothukudi District 628503",Thoothukudi,Private,70000
4964,"PSN College of Engineering and Technology (Autonomous),Melathediyoor, Tirunelveli-627 152",Tirunelveli,Private,70000
4965,"P S R Engineering College (Autonomous), Appayanaickenpatti, Sevalpatty, Virudhunagar District 626140",Virudhunagar,Private,70000
4967,"S Veerasamy Chettiar College of Engineering and Technology, Puliangudi Post, Tenkasi District 627855",Tenkasi,Private,70000
4968,"Sardar Raja College of Engineering, Alangulam, Tenkasi District 627808",Tenkasi,Private,70000
4969,"SCAD College of Engineering and Technology, Cheranmahadevi, Tirunelveli District 627414",Tirunelveli,Private,70000
4970,"Sree Sowdambika College of Engineering, Aruppukkottai Taluk, Virudhunagar District 626134",Virudhunagar,Private,70000
4971,"St. Xavier's Catholic College of Engineering, Chunkankadai, Nagercoil, Kanyakumari District 629807",Kanyakumari,Private,70000
4972,"AMRITA College of Engineering and Technology, Erachakulam Post, Kanyakumari District 629902",Kanyakumari,Private,70000
4974,"Government College of Engineering, Tirunelveli District 627007",Tirunelveli,Government,50000
4975,"Dr. G U Pope College of Engineering, Sawyerpuram, Thoothukudi District 628251",Thoothukudi,Private,70000
4977,"Narayanaguru College of Engineering, Manjalumoodu, Kanyakumari District 629151",Kanyakumari,Private,70000
4978,"Udaya School of Engineering, Ammandivilai Post, Kanyakumari District 629204",Kanyakumari,Private,70000
4980,"Einstein College of Engineering, Seethaparpanallur, Tirunelveli District 627012",Tirunelveli,Private,70000
4981,"Ponjesly College of Engineering, Vettornimadam Post, Nagercoil, Kanyakumari District 629003",Kanyakumari,Private,70000
4982,"Vins Christian College of Engineering, Chunkankadai Post, Nagercoil, Kanyakumari District 629807",Kanyakumari,Private,70000
4984,"Marthandam College of Engineering & Technology, Kuttakuzhi, Veeyanoor Post, Kanyakumari District 629177",Kanyakumari,Private,70000
4989,"PSN Engineering College, Melathediyoor, Tirunelveli District 627152",Tirunelveli,Private,70000
4992,"Bethlahem Institute of Engineering, Karungal, Kanyakumari District 629157",Kanyakumari,Private,70000
4993,"Loyola Institute of Technology and Science, Loyola Nagar, P B No.2, Thovalai, Kanyakumari District 629302",Kanyakumari,Private,70000
4994,"J P College of Engineering, College Road, Ayakudy, Tenkasi Taluk, Tenkasi District 627852",Tenkasi,Private,70000
4995,"P.S.R.R College of Engineering, Appayanaickenpatti, Sevalpatti, Virudhunagar District 626140",Virudhunagar,Private,70000
4996,"Sri Vidya College of Engineering and Technology, Sivakasi Main Road, P Kumaralinapuram, Virudhunagar District 626005",Virudhunagar,Private,70000
4999,"Annai Vailankanni College of Engineering, Pothaiyadi Salai, Pottalkulam, Azhagappapuram, Kanyakumari District 629401",Kanyakumari,Private,70000
5008,"Thiagarajar College of Engineering (Autonomous),Tirupparankundram, Madurai District 625015",Madurai,Private,90000
5009,"Government College of Engineering, Melachokkanathapuram, Bodinayakkanur, Theni District 625582",Theni,Government,50000
5010,"Anna University Regional Campus - Madurai, Kanyakumari National Highway, Keelakuilkudi, Madurai District 625019",Madurai,Government,50000
5017,"University College of Engineering, Ramanathapuram, Pullangudi, Ramanathapuram District 623513",Ramanathapuram,Private,70000
5022,"University College of Engineering, Dindigul, Mangarai Pirivu, Reddiyarchathiram, Dindigul District 624622",Dindigul,Private,70000
5530,"SSM Institute of Engineering and Technology, Kuttathupatti Village, Sindalaigundu Post, Dindigul District 624002",Dindigul,Private,70000
5533,"Karaikudi Institute of Technology and Karaikudi Institute of Management, KIT & KIM Technical Campus, Keeranipatti, Thalakkuvur, Karaikudi, Sivagangai District 630307",Sivagangai,Private,70000
5536,"Mangayarkarasi College of Engineering, First Street, Mangayarkarasi Nagar, Paravai, Madurai District 625402",Madurai,Private,90000
5703,"Christian College of Engineering and Technology, Oddanchatram, Dindigul District 624619",Dindigul,Private,70000
5832,"N P R College of Engineering and Technology, Natham, Dindigul District 624401",Dindigul,Private,70000
5862,"R V S Educational Trust’s Groups of Institutions (Integrated Campus), N Paraipatti Post, Vedasandur Taluk, Dindigul District 624005",Dindigul,Private,70000
5865,"Nadar Saraswathi College of Engineering and Technology, Vadupudupatti, Annanji Post, Theni District 625531",Theni,Private,70000
5901,"Alagappa Chettair Government College of Engineering and Technology (Autonomous), Karaikudi, Sivagangai District 630004",Sivagangai,Government,50000
5902,"Bharath Niketan Engineering College, Thimmarasanaickanoor, Aundipatti, Theni District 625536",Theni,Private,70000
5904,"K L N College of Engineering (Autonomous), Pottapalayam, Sivagangai District 630611",Sivagangai,Private,70000
5907,"Mohamed Sathak Engineering College, Kilakarai, Ramanathapuram District 623806",Ramanathapuram,Private,70000
5910,"P S N A Colllege of Engineering and Technology, Dindigul District 624622",Dindigul,Private,70000
5913,"R V S College of Engineering, N Paraipatti Post, Dindigul District 624005",Dindigul,Private,70000
5914,"Solamalai College of Engineering, Veerapanjan, Madurai District 625020",Madurai,Private,90000
5915,"SACS-M A V M M Engineering College, Kidaripatty Post, Madurai District 625301",Madurai,Private,90000
5919,"St. Michael College of Engineering and Technology, Kalayarkoil, Sivagangai District 630551",Sivagangai,Private,70000
5930,"SBM College of Engineering and Technology, Thamaraipady, T N Paraipatti Pirivu, Dindigul District 624005",Dindigul,Private,70000
5935,"Fatima Michael College of Engineering and Technology, Sengottai Village, Sivagangai Main Road, Madurai District 625020",Madurai,Private,90000
5942,"Ultra College of Engineering and Technology, Kodikulam, 1 Bit Village, Madurai-Chennai Highway, Madurai District 625104",Madurai,Private,90000
5986,"Velammal College of Engineering and Technology, Madurai District 625009",Madurai,Private,90000
5988,"Theni Kammavar Sangam College of Technology, Theni Main Road, Koduvillarpatti Post, Theni District 625534",Theni,Private,70000
5990,"Latha Mathavan Engineering College, Kidaripatti Post, Alagarkoil (Via), Melur Taluk, Madurai District 625301",Madurai,Private,90000
1013,University College of Engineering Villupuram Kakuppam Villupuram District 605103,Villupuram Kakuppam Villupuram,Private,70000
